Champs Local Code,C Name,C Pref Name,C Code
CH01676,Histology,Histology,CH01676
CH01677,Multiple Testing Methods,Multiple Testing Methods,CH01677
CH01678,Fresh,Fresh,CH01678
CH01679,Early,Early,CH01679
CH01680,Old,Old,CH01680
CH01681,Early and Old,Early and Old,CH01681
CH01682,Inclusions,Inclusions,CH01682
CH01683,Viral syncytia,Viral syncytia,CH01683
CH01684,Cocci,Cocci,CH01684
CH01685,Rods,Rods,CH01685
CH01686,Coccobacilli,Coccobacilli,CH01686
CH01687,Yeast,Yeast,CH01687
CH01688,Hyphae,Hyphae,CH01688
CH01689,Helminth,Helminth,CH01689
CH01690,Protozoa,Protozoa,CH01690
CH01691,Low grade,Low grade,CH01691
CH01692,High grade,High grade,CH01692
CH01693,Sqames,Squames,CH01693
CH01694,Meconium balls,Meconium balls,CH01694
CH01695,Fetal stress,Fetal stress,CH01695
CH01696,Multiple specimens,Multiple specimens,CH01696
CH01697,Major findings,Major findings,CH01697
CH01698,Additional stains,Additional stains,CH01698
CH01699,Other findings,Other findings,CH01699
CH01700,Streptococcus pneumoniae,Streptococcus pneumoniae,STPN_1
CH01701,Enrolled in Error,Enrolled in Error,CH01701
CH01702,Notification Phase,Notification Phase,CH01702
CH01703,Non-MITS Phase,Non-MITS Phase,CH01703
CH01704,MITS Phase,MITS Phase,CH01704
CH01705,Embargo Record - Data Access Plan Restriction,Embargo Record - Data Access Plan Restriction,CH01705
CH01706,Embargo Record - Highly-Sensitive Result,Embargo Record - Highly-Sensitive Result,CH01706
CH01707,Possible under certain circumstances,Possible under certain circumstances,CH01707
CH01708,Healthy mother,Healthy mother,CH01708
CH01710,Advanced maternal age,Advanced maternal age,CH01710
CH01711,Young mother,Young mother,CH01711
CH01712,Home or unattended delivery,Home or unattended delivery,CH01712
CH01713,No Records Available,No Records Available,CH01713
CH01714,Y95 Nosocomial condition,Nosocomial condition,Y95
CH01715,Y97 Environmental-pollution-related condition,Environmental-pollution-related condition,Y97
CH01716,U82 Resistance to betalactam antibiotics,Resistance to betalactam antibiotics,U82
CH01717,U82.0 Resistance to penicillin,Resistance to penicillin,U82.0
CH01718,U82.1 Resistance to methicillin,Resistance to methicillin,U82.1
CH01719,U82.2 Extended spectrum betalactamase (ESBL) resistance,Extended spectrum betalactamase (ESBL) resistance,U82.2
CH01720,U82.8 Resistance to other betalactam antibiotics,Resistance to other betalactam antibiotics,U82.8
CH01721,"U82.9 Resistance to betalactam antibiotics, unspecified","Resistance to betalactam antibiotics, unspecified",U82.9
CH01722,U83 Resistance to other antibiotics,Resistance to other antibiotics,U83
CH01723,U83.0 Resistance to vancomycin,Resistance to vancomycin,U83.0
CH01724,U83.1 Resistance to other vancomycin related antibiotics,Resistance to other vancomycin related antibiotics,U83.1
CH01725,U83.2 Resistance to quinolones,Resistance to quinolones,U83.2
CH01726,U83.7 Resistance to multiple antibiotics,Resistance to multiple antibiotics,U83.7
CH01727,U83.8 Resistance to other single specified antibiotic,Resistance to other single specified antibiotic,U83.8
CH01728,U83.9 Resistance to unspecified antibiotic,Resistance to unspecified antibiotic,U83.9
CH01729,U84 Resistance to other antimicrobial drugs,Resistance to other antimicrobial drugs,U84
CH01730,U84.0 Resistance to antiparasitic drug(s),Resistance to antiparasitic drug(s),U84.0
CH01731,U84.1 Resistance to antifungal drug(s),Resistance to antifungal drug(s),U84.1
CH01732,U84.2 Resistance to antiviral drug(s),Resistance to antiviral drug(s),U84.2
CH01733,U84.3 Resistance to tuberculostatic drug(s),Resistance to tuberculostatic drug(s),U84.3
CH01734,U84.7 Resistance to multiple antimicrobial drugs,Resistance to multiple antimicrobial drugs,U84.7
CH01735,U84.8 Resistance to other specified antimicrobial drug,Resistance to other specified antimicrobial drug,U84.8
CH01736,U84.9 Resistance to unspecified antimicrobial drugs,Resistance to unspecified antimicrobial drugs,U84.9
CH01737,U85 Resistance to antineoplastic drugs,Resistance to antineoplastic drugs,U85
CH01738,Bone Marrow Aspirate,Bone Marrow Aspirate,CH01738
CH01739,Other organism 2,Other organism 2,CH01739
CH01740,Other organism 3,Other organism 3,CH01740
CH01741,Other organism 4,Other organism 4,CH01741
CH01742,Other organism 5,Other organism 5,CH01742
CH01743,Placenta condition received,Placenta condition received,CH01743
CH01744,Weight the whole placenta (trimmed of extraplacental membranes and umbilical cord),Weight the whole placenta (trimmed of extraplacental membranes and umbilical cord),CH01744
CH01745,Prior sampling of microbiology,Placenta prior sampling of microbiology,CH01745
CH01746,Maximal linear dimension (length),Placenta- maximal linear dimension (length),CH01746
CH01747,Greatest dimension of the axis perpendicular to this linear measurement (width),Placenta- greatest dimension of the axis perpendicular to this linear measurement (width),CH01747
CH01748,Mural minimal thickness,Placenta- mural minimal thickness,CH01748
CH01749,Diameter of the cord,Placenta- diameter of the cord,CH01749
CH01750,Length of the cord,Placenta- length of the cord,CH01750
CH01751,Distance between the insertion site and the nearest placental margin,Placenta- distance between the insertion site and the nearest placental margin,CH01751
CH01752,Velamentous insertion,Placenta - velamentous insertion,CH01752
CH01753,Presence of strictures,Placenta - presence of strictures,CH01753
CH01754,Appearance of the cord,Placenta - appearance of the cord,CH01754
CH01755,Color,Placenta - color,CH01755
CH01756,Complete membranes,Placenta - complete membranes,CH01756
CH01757,Circumvallate or circummarginate present,Circumvallate or circummarginate present,CH01757
CH01758,Number of Infarcts,Placenta - number of Infarcts,CH01758
CH01759,Infarcts percentage of the total parenchymal volume,Placenta - infarcts percentage of the total parenchymal volume,CH01759
CH01760,Location of the infarcts,Placenta - location of the infarcts,CH01760
CH01761,Retroplacental hemorrhage,Placenta - retroplacental hemorrhage,CH01761
CH01762,Retroplacental hemorrhage length,Placenta - retroplacental hemorrhage length,CH01762
CH01763,Retroplacental hemorrhage width,Placenta - retroplacental hemorrhage width,CH01763
CH01764,Retroplacental hemorrhage - percentage of the maternal surface involved,Placenta - retroplacental hemorrhage - percentage of the maternal surface involved,CH01764
CH01765,Other gross findings,Placenta - other gross findings,CH01765
CH01766,Histologically normal,Histologically normal,CH01766
CH01767,Compatible with gestational age,Compatible with gestational age,CH01767
CH01768,Features of vascular malperfusion in placental bed,Features of vascular malperfusion in placental bed,CH01768
CH01769,Infarcts chronicity,Infarcts chronicity,CH01769
CH01770,Retroplacental hemmorrhage,Retroplacental hemmorrhage,CH01770
CH01771,Distal villous hypoplasia,Distal villous hypoplasia,CH01771
CH01772,Accelerated villous maturation,Accelerated villous maturation,CH01772
CH01773,Calcification,Calcification,CH01773
CH01774,Decidual arteriopathy,Decidual arteriopathy,CH01774
CH01775,Other maternal vascular malperfusion findings,Other maternal vascular malperfusion findings,CH01775
CH01776,Features of fetal vascular malperfusion,Features of fetal vascular malperfusion,CH01776
CH01777,Thrombosis,Thrombosis,CH01777
CH01778,Avascular villi,Avascular villi,CH01778
CH01779,Intramural fibrin deposition,Intramural fibrin deposition,CH01779
CH01780,Villous stomal-vascular kariorrhexis,Villous stomal-vascular kariorrhexis,CH01780
CH01781,Stem vessel obliteration,Stem vessel obliteration,CH01781
CH01782,Vascular exstasia,Vascular exstasia,CH01782
CH01783,Delayed villous maturation,Delayed villous maturation,CH01783
CH01784,Other fetal vascular malperfusion findings,Other fetal vascular malperfusion findings,CH01784
CH01785,Villitis,Villitis,CH01785
CH01786,Funistis,Funistis,CH01786
CH01787,Chorioamniontis,Chorioamniontis,CH01787
CH01788,Pigmented macrophages (meconium),Pigmented macrophages (meconium),CH01788
CH01789,Bacteria (cocci),Bacteria (cocci),CH01789
CH01790,Bacteria (rods),Bacteria (rods),CH01790
CH01791,Bacteria (coccobacilli),Bacteria (coccobacilli),CH01791
CH01792,Fungi (yeast),Fungi (yeast),CH01792
CH01793,Fungi (hyphae),Fungi (hyphae),CH01793
CH01794,Parasite (helminth),Parasite (helminth),CH01794
CH01795,Parasite (protozoa),Parasite (protozoa),CH01795
CH01796,Virus (inclusions),Virus (inclusions),CH01796
CH01797,Virus (viral syncytia),Virus (viral syncytia),CH01797
CH01798,Placenta - Pathology diagnosis,Placenta - Pathology diagnosis,CH01798
CH01799,Percentage,Percentage,CH01799
CH01800,Peripheral,Peripheral,CH01800
CH01801,Central or paracentral,Central or paracentral,CH01801
CH01802,Normal,Normal,CH01802
CH01803,Hypercoiled (less than 1 coil per 10 cm),Hypercoiled (less than 1 coil per 10 cm),CH01803
CH01804,Hypercoiled (greater than 3 coils per 10 cm),Hypercoiled (greater than 3 coils per 10 cm),CH01804
CH01805,Segmental hypercoiling,Segmental hypercoiling,CH01805
CH01806,Fresh specimen,Fresh specimen,CH01806
CH01807,BloodCSF Tier 2 V2,BloodCSF Tier 2 V2,CH01807
CH01808,Pending,Pending,CH01808
CH01809,Suspended,Suspended,CH01809
CH01810,Cleared,Cleared,CH01810
CH01811,Missing Data,Missing Data,CH01811
CH01812,Incorrect Data,Incorrect Data,CH01812
CH01813,Other,Other,CH01813
CH01814,Site Hold,Site Hold,CH01814
CH01815,PO Hold,PO Hold,CH01815
CH01816,Site Release,Site Release,CH01816
CH01817,PO Release,PO Release,CH01817
CH01818,Arenavirus,Arenavirus,CH01818
CH01819,Lassa Fever Virus,Lassa Fever Virus,CH01819
CH01820,Lassa Fever Virus,Lassa Fever Virus,CH01820
CH01821,Lassa Fever Virus,Lassa Fever Virus,CH01821
CH01822,Lassa Fever Virus,Lassa Fever Virus,CH01822
CH01823,Lassa Fever Virus,Lassa Fever Virus,CH01823
CH01824,Lassa Fever Virus,Lassa Fever Virus,CH01824
CH01825,Negative for Lassa Fever Virus,Negative for Lassa Fever Virus,CH01825
CH01826,Indeterminate for Lassa Fever Virus,Indeterminate for Lassa Fever Virus,CH01826
CH01827,Lassa Fever Virus target A,Lassa Fever Virus target A,LAVA_1
CH01828,Lassa Fever Virus target B,Lassa Fever Virus target B,LAVB_1
CH01829,Arenavirus (Pan Lassa Fever Virus),Arenavirus (Pan Lassa Fever Virus),LAVP_1
CH01832,Arenavirus/Lassa Fever,Arenavirus/Lassa Fever,LASS_1
CH01833,Auxiliary Test 1,Auxiliary Test 1,CH01833
CH01834,Auxiliary Test 2,AuxiliaryTest 2,CH01834
CH01835,AuxiliaryTest 3,Auxiliary Test 3,CH01835
CH01836,Auxiliary Test 4,Auxiliary Test 4,CH01836
CH01837,Auxiliary Test 5,Auxiliary Test 5,CH01837
CH01838,Lab does not perform this test,Lab does not perform this test,CH01838
CH01839,From one health facility to another,From one health facility to another,CH01839
CH01840,Traditional birth attendant place of practice,Traditional birth attendant place of practice,CH01840
CH01841,Traditional healer place of practice,Traditional healer place of practice,CH01841
CH01842,Family member,Family member,CH01842
CH01843,No Religion,No Religion,CH01843
CH01844,Exact,Exact,CH01844
CH01845,Approximate,Approximate,CH01845
CH01846,Late notification (no longer eligible for MITS),Late notification (no longer eligible for MITS),CH01846
CH01847,Body already buried or cremated,Body already buried or cremated,CH01847
CH01848,Family wishes to bury body before eligibility screening can be conducted,Family wishes to bury body before eligibility screening can be conducted,CH01848
CH01849,Logistical and/or CHAMPS staff availability issues,Logistical and/or CHAMPS staff availability issues,CH01849
CH01850,Consenting party not available,Consenting party not available,CH01850
CH01851,Site specific MITS exclusion criteria,Site specific MITS exclusion criteria,CH01851
CH01852,Complex family dynamics or emotional distress,Complex family dynamics or emotional distress,CH01852
CH01853,Changana,Changana,CH01853
CH01854,Machangana,Machangana,CH01854
CH01855,Placental lesion,Placental lesion,CH01855
CH01856,Intervillositis,Intervillositis,CH01856
CH01857,Other Health Facility,Other Health Facility,CH01857
CH01858,Etiology Issue,Etiology Issue,CH01858
CH01859,Bacillus spp.,Bacillus spp.,CH01859
CH01860,Coagulase negative Staphylococcus,Coagulase negative Staphylococcus,CH01860
CH01861,Enterococcus spp.,Enterococcus spp.,CH01861
CH01862,Klebsiella spp.,Klebsiella spp.,CH01862
CH01863,Klebsiella terragina,Klebsiella terragina,CH01863
CH01864,Viridans streptococcus,Viridans streptococcus,CH01864
CH01865,Streptococcus spp.,Streptococcus spp.,CH01865
CH01866,Bone Marrow Aspirate in culture media,Bone Marrow Aspirate in culture media,CH01866
CH01867,Lung tissue in culture media,Lung tissue in culture media,CH01867
CH01868,Mural maximal thickness,Placenta- mural maximal thickness,CH01868
CH01869,Family lost to follow-up,Family lost to follow-up,CH01869
CH01870,Family refused follow-up,Family refused follow-up,CH01870
CH01871,Multiple unsuccessful attempts and no follow-up session scheduled,Multiple unsuccessful attempts and no follow-up session scheduled,CH01871
CH01872,Exact cause from DeCode (including if cause was undetermined),Exact cause from DeCode (including if cause was undetermined),CH01872
CH01873,Simplified cause,Simplified cause,CH01873
CH01874,No Cause,No Cause,CH01874
CH01875,Guardian,Guardian,CH01875
CH01876,Hemolyzed,Hemolyzed,CH01876
CH01877,Other Unit of Measure,Other Unit of Measure,CH01877
CH01878,Within Normal MUAC Range (MUACZ ? -2),Within Normal MUAC Range (MUACZ ? -2),CH01878
CH01879,Moderate Malnutrition (-3? MUACZ < -2),Moderate Malnutrition (-3? MUACZ < -2),CH01879
CH01880,Severe malnutrition (MUACZ < -3),Severe malnutrition (MUACZ < -3),CH01880
CH01881,Flat bone,Flat bone,CH01881
CH01882,Long bone,Long bone,CH01882
CH01883,Dry Blood Spot,Dry Blood Spot,CH01883
CH01884,Y66 Nonadministration of surgical and medical care,Nonadministration of surgical and medical care,Y66
CH01885,Improved infection prevention and control,Improved infection prevention and control,CH01885
CH01886,Improved HIV prevention and control,Improved HIV prevention and control,CH01886
CH01887,Improved ANC and obstetric care and management,Improved ANC and obstetric care and management,CH01887
CH01888,Improved family planning,Improved family planning,CH01888
CH01889,Improved clinical management and quality of care,Improved clinical management and quality of care,CH01889
CH01890,"Improved health education [immunizations, preventing malnutrition, diarrhea, burns, poisoning, etc.]","Improved health education [immunizations, preventing malnutrition, diarrhea, burns, poisoning, etc.]",CH01890
CH01891,Improved health-seeking behavior,Improved health-seeking behavior,CH01891
CH01892,Improved nutritional support,Improved nutritional support,CH01892
CH01893,Improved vaccinations,Improved vaccinations,CH01893
CH01894,Improved transport system,Improved transport system,CH01894
CH01895,Other recommendation,Other recommendation,CH01895
CH01896,Local social/cultural concerns,Local social/cultural concerns,CH01896
CH01897,Aga Khan Hospital,Aga Khan Hospital,CH01897
CH01898,CVD-Mali Morgue,CVD-Mali Morgue,CH01898
CH01899,Human Immunodeficiency Virus (HIV),HIV,CH01899
CH01900,Culture Isolate ID,Culture Isolate ID,CH01900
CH01901,Champs ID,Champs ID,CH01901
CH01902,Culture Isolate,Culture Isolate,CH01902
CH01903,Local identifier,Local identifier,CH01903
CH01904,Parent identifier,Parent identifier,CH01904
CH01905,"Granulomas, with giant cells","Granulomas, with giant cells",CH01905
CH01906,Mononuclear cells for portal inflammation,Mononuclear cells for portal inflammation,CH01906
CH01907,Mixed inflammation for portal inflammation,Mixed inflammation for portal inflammation,CH01907
CH01908,Formalin pigment,Formalin pigment,CH01908
CH01909,Hemosiderin pigment,Hemosiderin pigment,CH01909
CH01910,Hemozoin pigment,Hemozoin pigment,CH01910
CH01911,Other pigment,Other pigment,CH01911
CH01912,"Steatosis, small droplet","Steatosis, small droplet",CH01912
CH01913,"Steatosis, large droplet","Steatosis, large droplet",CH01913
CH01914,Periportal steatosis,Periportal steatosis,CH01914
CH01915,Azonal,Azonal,CH01915
CH01916,Midzonal,Midzonal,CH01916
CH01917,Centrilobular,Centrilobular,CH01917
CH01918,Bridging necrosis,Bridging necrosis,CH01918
CH01919,Cirrhosis,Cirrhosis,CH01919
CH01920,Other fibrosis,Other fibrosis,CH01920
CH01921,Bile ductular reaction,Bile ductular reaction,CH01921
CH01922,Intravascular leukocytosis,Intravascular leukocytosis,CH01922
CH01923,Vasculitis,Vasculitis,CH01923
CH01924,Thrombi,Thrombi,CH01924
CH01925,"Minimal, non-specific findings","Minimal, non-specific findings",CH01925
CH01926,Aspirated GI contents,Aspirated GI contents,CH01926
CH01927,aspiration with inflammation,aspiration with inflammation,CH01927
CH01928,Aspiration without inflammation,Aspiration without inflammation,CH01928
CH01929,Pre-term lung,Pre-term lung,CH01929
CH01930,Parenchymal necrosis,Parenchymal necrosis,CH01930
CH01931,Neuronal necrosis,Neuronal necrosis,CH01931
CH01932,Satellitosis,Satellitosis,CH01932
CH01933,Aspergillus spp.,Aspergillus spp.,CH01933
CH01934,B. bronchiseptica,Bordetella bronchiseptica,CH01934
CH01935,B. holmseii,Bordetella holmesii,CH01935
CH01937,Bordetella spp.,Bordetella spp.,CH01937
CH01938,Candida spp.,Candida spp.,CH01938
CH01939,Clostridium spp.,Clostridium spp.,CH01939
CH01940,Mycobacterium spp.,Mycobacterium spp.,CH01940
CH01941,Staphylococcus spp.,Staphylococcus spp.,CH01941
CH01942,Infectious agent,Infectious agent,CH01942
CH01943,Pigment,Pigment,CH01943
CH01944,Multinucleated hepatocytes,Multinucleated hepatocytes,CH01944
CH01945,Neutrophilic infiltrate for portal inflammation,Neutrophilic infiltrate for portal inflammation,CH01945
CH01946,Neutrophilic infiltrate for sinusoidal inflammation,Neutrophilic infiltrate for sinusoidal inflammation,CH01946
CH01947,Mononuclear cells for sinusiodal inflammation,Mononuclear cells for sinusiodal inflammation,CH01947
CH01948,Mixed inflammation for sinusoidal inflammation,Mixed inflammation for sinusoidal inflammation,CH01948
CH01949,Eosinophilic infiltrate for portal inflammation,Eosinophilic infiltrate for portal inflammation,CH01949
CH01950,Eosinophilic infiltrate for sinusoidal inflammation,Eosinophilic infiltrate for sinusoidal inflammation,CH01950
CH01951,Formalin pigment in Kupffer cells,Formalin pigment in Kupffer cells,CH01951
CH01952,Hemosiderin pigment in Kupffer cells,Hemosiderin pigment in Kupffer cells,CH01952
CH01953,Hemozoin pigment in Kupffer cells,Hemozoin pigment in Kupffer cells,CH01953
CH01954,Other pigment in Kupffer cells,Other pigment in Kupffer cells,CH01954
CH01955,Periportal necrosis,Periportal necrosis,CH01955
CH01956,Periportal fibrosis,Periportal fibrosis,CH01956
CH01957,Bridging fibrosis,Bridging fibrosis,CH01957
CH01958,Formalin pigment in portal macrophages,Formalin pigment in portal macrophages,CH01958
CH01959,Hemosiderin pigment in portal macrophages,Hemosiderin pigment in portal macrophages,CH01959
CH01960,Hemozoin pigment in portal macrophages,Hemozoin pigment in portal macrophages,CH01960
CH01961,Other pigment in portal macrophages,Other pigment in portal macrophages,CH01961
CH01962,Aspiration material reaction inflammation type,Aspiration material reaction inflammation type,CH01962
CH01963,Kersa,Kersa,CH01963
CH01964,Haramaya,Haramaya,CH01964
CH01965,Harar,Harar,CH01965
CH01966,Amharic,Amharic,CH01966
CH01967,Afran-oromo,Afran-oromo,CH01967
CH01968,Somali,Somali,CH01968
CH01969,Tigrinya,Tigrinya,CH01969
CH01970,Sidmao,Sidmao,CH01970
CH01971,Wolaytta,Wolaytta,CH01971
CH01972,Gurage,Gurage,CH01972
CH01973,Afar,Afar,CH01973
CH01974,Hadyya,Hadyya,CH01974
CH01975,Gamo/Gofa,Gamo/Gofa,CH01975
CH01976,Gedeo,Gedeo,CH01976
CH01977,Kafa,Kafa,CH01977
CH01978,Adere,Adere,CH01978
CH01979,Silte,Silte,CH01979
CH01980,Oromo,Oromo,CH01980
CH01981,Amhara,Amhara,CH01981
CH01982,Somali,Somali,CH01982
CH01983,Tigrayan,Tigrayan,CH01983
CH01984,Sidama,Sidama,CH01984
CH01985,Gurage,Gurage,CH01985
CH01986,Wolayta,Wolayta,CH01986
CH01987,Hadiya,Hadiya,CH01987
CH01988,Afar,Afar,CH01988
CH01990,Adere/Harari,Adere/Harari,CH01990
CH01991,Silte,Silte,CH01991
CH01992,Ethiopian Orthodox,Ethiopian Orthodox,CH01992
CH01993,Waqefeta,Waqefeta,CH01993
CH01994,Traditional African: Cultural,Traditional African: Cultural,CH01994
CH01995,Bereka Health Center,Bereka Health Center,CH01995
CH01996,Dollu Selama Health Center,Dollu Selama Health Center,CH01996
CH01997,Gola Health Center,Gola Health Center,CH01997
CH01998,Haramaya District Hospital,Haramaya District Hospital,CH01998
CH01999,Hararghe Health Research Laboratory,Hararghe Health Research Laboratory,CH01999
CH02000,Hararghe Health Research Laboratory,Hararghe Health Research Laboratory,CH02000
CH02001,Hararghe Health Research Laboratory,Hararghe Health Research Laboratory,CH02001
CH02002,Hiwot Fana Hospital,Hiwot Fana Hospital,CH02002
CH02003,Hiwot Fana Hospital - Paediatric,Hiwot Fana Hospital - Paediatric,CH02003
CH02004,Hiwot Fana Hospital - Maternity,Hiwot Fana Hospital - Maternity,CH02004
CH02005,Hiwot Fana Hospital - NICU,Hiwot Fana Hospital - NICU,CH02005
CH02006,Hiwot Fana Hospital - Laboratory:Histology/Pathology,Hiwot Fana Hospital - Laboratory:Histology/Pathology,CH02006
CH02007,Kersa Health Center,Kersa Health Center,CH02007
CH02008,Lange Health Center,Lange Health Center,CH02008
CH02009,Weter Health Center,Weter Health Center,CH02009
CH02010,Nasopharyngeal and Oropharyngeal mucosa,Nasopharyngeal and Oropharyngeal mucosa,CH02010
CH02011,Count,Count,CH02011
CH02012,Vicum storage media,Vicum storage media,CH02012
CH02013,Lysis buffer,Lysis buffer,CH02013
CH02014,Formalin-fixed paraffin embedded tissue,Formalin-fixed paraffin embedded tissue,CH02014
CH02015,Glycerol,Glycerol,CH02015
CH02016,Dimethyl Sulfoxide (DMSO),Dimethyl Sulfoxide (DMSO),CH02016
CH02017,Protocol Deviation,Protocol Deviation,CH02017
CH02018,Adverse Event,Adverse Event,CH02018
CH02019,Consent related,Consent related,CH02019
CH02020,Enrollment related,Enrollment related,CH02020
CH02021,Breach of privacy/confidentiality,Breach of privacy/confidentiality,CH02021
CH02022,Verbal Autopsy Consent,Verbal Autopsy Consent,CH02022
CH02023,Not determined,Not determined,CH02023
CH02024,Definitely yes,Definitely yes,CH02024
CH02025,Possibly yes,Possibly yes,CH02025
CH02026,Probably no,Probably no,CH02026
CH02027,Definitely no,Definitely no,CH02027
CH02028,In progress,In progress,CH02028
CH02029,To be determined,To be determined,CH02029
CH02030,Standard Operating Procedures (SOPs),Standard Operating Procedures (SOPs),CH02030
CH02031,Protocols,Protocols,CH02031
CH02032,ICF (Informed Consent Form),ICF (Informed Consent Form),CH02032
CH02033,None of the above,None of the above,CH02033
CH02034,Immediately,Immediately,CH02034
CH02035,In yearly continuing review,In yearly continuing review,CH02035
CH02036,Bitonga,Bitonga,CH02036
CH02037,Chope,Chope,CH02037
CH02038,Chuabo,Chuabo,CH02038
CH02039,Emakhuwa,Emakhuwa,CH02039
CH02040,Lomue,Lomue,CH02040
CH02041,Machope,Machope,CH02041
CH02042,Makonde,Makonde,CH02042
CH02043,Manhaua,Manhaua,CH02043
CH02044,Marenge,Marenge,CH02044
CH02045,Maronga,Maronga,CH02045
CH02046,Matswa,Matswa,CH02046
CH02047,Mwani,Mwani,CH02047
CH02048,Ndau,Ndau,CH02048
CH02049,Nguni,Nguni,CH02049
CH02050,Nsenga,Nsenga,CH02050
CH02051,Nyanja,Nyanja,CH02051
CH02052,Nyungwe,Nyungwe,CH02052
CH02053,Pimbwe,Pimbwe,CH02053
CH02054,Shona,Shona,CH02054
CH02055,Yao,Yao,CH02055
CH02056,Atheism,Atheism,CH02056
CH02057,Indu,Indu,CH02057
CH02058,Universal Church,Universal Church,CH02058
CH02059,Apostolic Church,Apostolic Church,CH02059
CH02060,Hospital Rural de Xinavane,Hospital Rural de Xinavane,CH02060
CH02061,Maluana,Maluana,CH02061
CH02062,Maragra,Maragra,CH02062
CH02063,QUELIMANE DISTRICT: Urban 1: Hospital Central de Quelimane,QUELIMANE DISTRICT: Urban 1: Hospital Central de Quelimane,CH02063
CH02064,QUELIMANE DISTRICT: Urban 1: HG de Quelimane,QUELIMANE DISTRICT: Urban 1: HG de Quelimane,CH02064
CH02065,QUELIMANE DISTRICT: Urban 4: CS  17 de Setembro,QUELIMANE DISTRICT: Urban 4: CS  17 de Setembro,CH02065
CH02066,QUELIMANE DISTRICT: Urban 1: CS  24 de Julho,QUELIMANE DISTRICT: Urban 1: CS  24 de Julho,CH02066
CH02067,QUELIMANE DISTRICT: Urban 3: CS de Coalane,QUELIMANE DISTRICT: Urban 3: CS de Coalane,CH02067
CH02068,QUELIMANE DISTRICT: Maquival: CS de Varela,QUELIMANE DISTRICT: Maquival: CS de Varela,CH02068
CH02069,QUELIMANE DISTRICT: Urban 1: CS  4 de Dezembro,QUELIMANE DISTRICT: Urban 1: CS  4 de Dezembro,CH02069
CH02070,QUELIMANE DISTRICT: Urban 1: PS Cadeia Civil,QUELIMANE DISTRICT: Urban 1: PS Cadeia Civil,CH02070
CH02071,QUELIMANE DISTRICT: Urban 3: CS  de Namuinho,QUELIMANE DISTRICT: Urban 3: CS  de Namuinho,CH02071
CH02072,QUELIMANE DISTRICT: Urban 2: CS de Sangariveira,QUELIMANE DISTRICT: Urban 2: CS de Sangariveira,CH02072
CH02073,QUELIMANE DISTRICT: Urban 3: PS de Zalala Mar,QUELIMANE DISTRICT: Urban 3: PS de Zalala Mar,CH02073
CH02074,QUELIMANE DISTRICT: Urban 1: PS Militar,QUELIMANE DISTRICT: Urban 1: PS Militar,CH02074
CH02075,QUELIMANE DISTRICT: Urban 4: CS de  Chabeco,QUELIMANE DISTRICT: Urban 4: CS de  Chabeco,CH02075
CH02076,QUELIMANE DISTRICT: Urban 2: CS  de  Incidua,QUELIMANE DISTRICT: Urban 2: CS  de  Incidua,CH02076
CH02077,QUELIMANE DISTRICT: Urban 5: CS  de Micajune,QUELIMANE DISTRICT: Urban 5: CS  de Micajune,CH02077
CH02078,QUELIMANE DISTRICT: Maquival: CS de Inhangulue,QUELIMANE DISTRICT: Maquival: CS de Inhangulue,CH02078
CH02079,QUELIMANE DISTRICT: Maquival: C.S. Estação Malanha,QUELIMANE DISTRICT: Maquival: C.S. Estação Malanha,CH02079
CH02080,QUELIMANE DISTRICT: Maquival: CS de Ionge,QUELIMANE DISTRICT: Maquival: CS de Ionge,CH02080
CH02081,QUELIMANE DISTRICT: Maquival: CS de Maquival-Rio,QUELIMANE DISTRICT: Maquival: CS de Maquival-Rio,CH02081
CH02082,QUELIMANE DISTRICT: Maquival: CS de Maquival Sede,QUELIMANE DISTRICT: Maquival: CS de Maquival Sede,CH02082
CH02083,QUELIMANE DISTRICT: Maquival: PS de Marrongane,QUELIMANE DISTRICT: Maquival: PS de Marrongane,CH02083
CH02084,QUELIMANE DISTRICT: Maquival: CS. Madal,QUELIMANE DISTRICT: Maquival: CS. Madal,CH02084
CH02085,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinica Bons Sinais,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinica Bons Sinais,CH02085
CH02086,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinica Boa Esperanca,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinica Boa Esperanca,CH02086
CH02087,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinica VWT,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinica VWT,CH02087
CH02088,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinica do Hospital Central de Quelimane,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinica do Hospital Central de Quelimane,CH02088
CH02089,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinia Santa Victoria,CLINICS  QUELIMANE DISTRICT: Urban 1: Clinia Santa Victoria,CH02089
CH02090,CLINICS  QUELIMANE DISTRICT: Urban 1: CS Dream (PRIVADO),CLINICS  QUELIMANE DISTRICT: Urban 1: CS Dream (PRIVADO),CH02090
CH02091,NICOADALA: Nicoadala Sede: CS  Nicoadala-Sede,NICOADALA: Nicoadala Sede: CS  Nicoadala-Sede,CH02091
CH02092,NICOADALA: Nicoadala Sede: CS de Licuar,NICOADALA: Nicoadala Sede: CS de Licuar,CH02092
